CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe foo.py
MEM 42.050781 1730128991.4086
MEM 42.050781 1730128991.5091
MEM 42.050781 1730128991.6095
MEM 42.050781 1730128991.7100
MEM 42.050781 1730128991.8106
MEM 42.050781 1730128991.9111
MEM 42.050781 1730128992.0115
MEM 42.050781 1730128992.1124
MEM 42.050781 1730128992.2127
MEM 42.050781 1730128992.3135
MEM 42.050781 1730128992.4144
MEM 42.050781 1730128992.5152
MEM 42.050781 1730128992.6159
MEM 42.050781 1730128992.7167
MEM 42.109375 1730128992.8175
MEM 42.109375 1730128992.9183
MEM 42.109375 1730128993.0186
MEM 42.171875 1730128993.1194
MEM 42.171875 1730128993.2201
MEM 42.171875 1730128993.3210
MEM 42.171875 1730128993.4218
MEM 42.250000 1730128993.5226
MEM 42.250000 1730128993.6235
MEM 42.250000 1730128993.7243
MEM 42.250000 1730128993.8252
MEM 42.250000 1730128993.9260
MEM 42.250000 1730128994.0269
MEM 42.320312 1730128994.1276
MEM 42.320312 1730128994.2286
MEM 42.320312 1730128994.3291
MEM 42.378906 1730128994.4300
MEM 42.378906 1730128994.5305
MEM 42.378906 1730128994.6310
MEM 42.378906 1730128994.7315
MEM 42.378906 1730128994.8320
MEM 42.804688 1730128994.9329
MEM 42.804688 1730128995.0334
MEM 42.804688 1730128995.1343
MEM 42.804688 1730128995.2351
MEM 42.804688 1730128995.3359
MEM 42.804688 1730128995.4368
MEM 42.867188 1730128995.5377
MEM 42.867188 1730128995.6385
MEM 42.867188 1730128995.7394
MEM 42.933594 1730128995.8402
MEM 42.933594 1730128995.9405
MEM 42.933594 1730128996.0414
MEM 43.000000 1730128996.1422
MEM 43.000000 1730128996.2430
MEM 43.000000 1730128996.3434
MEM 43.019531 1730128996.4443
MEM 43.066406 1730128996.5451
MEM 43.066406 1730128996.6455
MEM 43.066406 1730128996.7464
MEM 43.066406 1730128996.8472
MEM 43.066406 1730128996.9481
MEM 43.132812 1730128997.0490
MEM 43.132812 1730128997.1498
MEM 43.132812 1730128997.2507
MEM 43.132812 1730128997.3516
MEM 43.132812 1730128997.4521
MEM 43.199219 1730128997.5526
MEM 43.199219 1730128997.6535
MEM 43.199219 1730128997.7540
MEM 43.273438 1730128997.8549
MEM 43.273438 1730128997.9552
MEM 43.273438 1730128998.0555
MEM 43.339844 1730128998.1559
MEM 43.339844 1730128998.2563
MEM 43.414062 1730128998.3568
MEM 43.414062 1730128998.4576
MEM 43.414062 1730128998.5580
MEM 43.496094 1730128998.6588
MEM 43.500000 1730128998.7594
MEM 43.500000 1730128998.8596
MEM 43.500000 1730128998.9598
MEM 43.500000 1730128999.0600
MEM 43.500000 1730128999.1603
MEM 43.500000 1730128999.2607
MEM 43.500000 1730128999.3616
MEM 43.500000 1730128999.4625
MEM 43.582031 1730128999.5633
MEM 43.613281 1730128999.6639
MEM 42.167969 1730128999.7642
MEM 42.167969 1730128999.8649
MEM 42.167969 1730128999.9652
MEM 42.710938 1730129000.0661
MEM 42.710938 1730129000.1669
MEM 42.710938 1730129000.2672
MEM 42.980469 1730129000.3680
MEM 42.980469 1730129000.4687
MEM 43.062500 1730129000.5690
MEM 43.062500 1730129000.6698
MEM 43.062500 1730129000.7701
MEM 43.062500 1730129000.8710
MEM 43.523438 1730129000.9718
MEM 43.523438 1730129001.0725
MEM 43.523438 1730129001.1726
MEM 43.523438 1730129001.2730
MEM 43.523438 1730129001.3739
MEM 43.523438 1730129001.4748
MEM 43.617188 1730129001.5755
MEM 43.617188 1730129001.6763
MEM 43.617188 1730129001.7767
MEM 43.617188 1730129001.8773
MEM 43.617188 1730129001.9778
MEM 43.617188 1730129002.0783
MEM 43.617188 1730129002.1787
MEM 43.812500 1730129002.2796
MEM 43.812500 1730129002.3800
MEM 43.812500 1730129002.4805
MEM 43.820312 1730129002.5810
MEM 43.820312 1730129002.6813
MEM 43.820312 1730129002.7818
MEM 43.867188 1730129002.8827
MEM 43.867188 1730129002.9831
MEM 43.910156 1730129003.0839
MEM 43.910156 1730129003.1847
MEM 43.910156 1730129003.2855
MEM 43.910156 1730129003.3859
MEM 43.910156 1730129003.4867
MEM 43.910156 1730129003.5876
MEM 43.910156 1730129003.6884
MEM 43.910156 1730129003.7891
MEM 43.910156 1730129003.8892
MEM 43.910156 1730129003.9896
MEM 43.910156 1730129004.0905
MEM 43.910156 1730129004.1912
MEM 43.910156 1730129004.2916
MEM 43.910156 1730129004.3924
MEM 43.910156 1730129004.4933
MEM 43.910156 1730129004.5936
MEM 43.910156 1730129004.6945
MEM 43.910156 1730129004.7954
MEM 43.941406 1730129004.8963
MEM 43.941406 1730129004.9971
MEM 43.945312 1730129005.0979
MEM 43.945312 1730129005.1986
MEM 43.945312 1730129005.2990
MEM 43.945312 1730129005.3998
MEM 43.945312 1730129005.5007
MEM 43.949219 1730129005.6017
MEM 43.949219 1730129005.7025
MEM 42.472656 1730129005.8029
MEM 42.472656 1730129005.9032
