CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe bar.py
MEM 36.281250 1730131573.3964
MEM 36.281250 1730131573.4973
MEM 36.281250 1730131573.5982
MEM 36.281250 1730131573.6991
MEM 36.281250 1730131573.8000
MEM 35.917969 1730131573.9008
MEM 35.917969 1730131574.0014
MEM 35.917969 1730131574.1017
MEM 36.554688 1730131574.2026
MEM 36.554688 1730131574.3034
MEM 36.554688 1730131574.4038
MEM 36.554688 1730131574.5043
MEM 36.554688 1730131574.6049
MEM 36.898438 1730131574.7053
MEM 36.898438 1730131574.8058
MEM 36.898438 1730131574.9067
MEM 36.898438 1730131575.0072
MEM 37.011719 1730131575.1081
MEM 37.011719 1730131575.2085
MEM 37.011719 1730131575.3095
MEM 37.011719 1730131575.4098
MEM 37.121094 1730131575.5106
MEM 37.121094 1730131575.6109
MEM 37.121094 1730131575.7118
MEM 37.257812 1730131575.8125
MEM 37.257812 1730131575.9128
MEM 37.257812 1730131576.0137
MEM 37.300781 1730131576.1145
MEM 37.300781 1730131576.2153
MEM 37.300781 1730131576.3155
MEM 37.343750 1730131576.4163
MEM 37.343750 1730131576.5170
MEM 37.343750 1730131576.6172
MEM 37.402344 1730131576.7180
MEM 37.402344 1730131576.8183
MEM 37.402344 1730131576.9192
MEM 37.460938 1730131577.0194
MEM 37.460938 1730131577.1196
MEM 37.460938 1730131577.2199
MEM 37.460938 1730131577.3208
MEM 37.460938 1730131577.4216
MEM 37.507812 1730131577.5224
MEM 37.507812 1730131577.6232
MEM 37.511719 1730131577.7240
MEM 37.558594 1730131577.8247
MEM 37.558594 1730131577.9255
MEM 37.609375 1730131578.0263
MEM 37.609375 1730131578.1266
MEM 37.609375 1730131578.2275
MEM 37.671875 1730131578.3283
MEM 37.671875 1730131578.4288
MEM 37.671875 1730131578.5293
MEM 37.714844 1730131578.6301
MEM 37.714844 1730131578.7304
MEM 37.714844 1730131578.8309
MEM 37.714844 1730131578.9318
MEM 37.714844 1730131579.0322
MEM 37.714844 1730131579.1327
MEM 37.714844 1730131579.2332
MEM 37.714844 1730131579.3337
MEM 37.714844 1730131579.4341
MEM 37.714844 1730131579.5345
MEM 37.765625 1730131579.6354
MEM 37.765625 1730131579.7359
MEM 37.765625 1730131579.8364
MEM 37.812500 1730131579.9373
MEM 37.812500 1730131580.0377
MEM 37.812500 1730131580.1382
MEM 37.863281 1730131580.2390
MEM 37.863281 1730131580.3394
MEM 37.863281 1730131580.4399
MEM 37.863281 1730131580.5403
MEM 37.863281 1730131580.6408
MEM 37.863281 1730131580.7414
MEM 37.863281 1730131580.8423
MEM 37.914062 1730131580.9430
MEM 37.914062 1730131581.0438
MEM 37.914062 1730131581.1446
MEM 37.957031 1730131581.2455
MEM 37.957031 1730131581.3462
MEM 37.957031 1730131581.4470
MEM 38.003906 1730131581.5482
MEM 38.003906 1730131581.6489
MEM 38.003906 1730131581.7497
MEM 38.003906 1730131581.8505
MEM 38.003906 1730131581.9517
MEM 38.003906 1730131582.0521
MEM 38.003906 1730131582.1529
