CMDLINE C:/Users/Hertzian/Documents/msys2/ucrt64/bin/python.exe foo.py
MEM 42.316406 1730131763.0651
MEM 42.316406 1730131763.1659
MEM 42.378906 1730131763.2667
MEM 42.378906 1730131763.3669
MEM 42.433594 1730131763.4672
MEM 42.433594 1730131763.5679
MEM 42.433594 1730131763.6687
MEM 42.433594 1730131763.7696
MEM 42.492188 1730131763.8705
MEM 42.492188 1730131763.9712
MEM 42.492188 1730131764.0715
MEM 42.492188 1730131764.1718
MEM 42.492188 1730131764.2727
MEM 42.492188 1730131764.3735
MEM 42.492188 1730131764.4739
MEM 42.492188 1730131764.5747
MEM 42.542969 1730131764.6755
MEM 42.542969 1730131764.7763
MEM 42.542969 1730131764.8772
MEM 42.601562 1730131764.9780
MEM 42.601562 1730131765.0782
MEM 42.601562 1730131765.1789
MEM 42.660156 1730131765.2792
MEM 42.660156 1730131765.3800
MEM 42.660156 1730131765.4809
MEM 42.714844 1730131765.5813
MEM 42.714844 1730131765.6818
MEM 42.714844 1730131765.7823
MEM 42.761719 1730131765.8828
MEM 43.156250 1730131765.9836
MEM 43.199219 1730131766.0838
MEM 43.199219 1730131766.1841
MEM 43.199219 1730131766.2844
MEM 42.554688 1730131766.3847
MEM 41.906250 1730131766.4852
MEM 41.906250 1730131766.5856
MEM 41.906250 1730131766.6861
MEM 42.417969 1730131766.7866
MEM 42.417969 1730131766.8870
MEM 42.433594 1730131766.9875
MEM 42.679688 1730131767.0879
MEM 42.679688 1730131767.1882
MEM 42.679688 1730131767.2891
MEM 42.800781 1730131767.3898
MEM 42.800781 1730131767.4900
MEM 42.800781 1730131767.5904
MEM 42.804688 1730131767.6911
MEM 42.804688 1730131767.7918
MEM 42.804688 1730131767.8927
MEM 42.804688 1730131767.9936
MEM 42.804688 1730131768.0944
MEM 43.117188 1730131768.1946
MEM 43.117188 1730131768.2954
MEM 43.117188 1730131768.3960
MEM 43.117188 1730131768.4964
MEM 43.117188 1730131768.5973
MEM 43.117188 1730131768.6976
MEM 43.117188 1730131768.7985
MEM 43.128906 1730131768.8994
MEM 43.128906 1730131769.0000
MEM 43.128906 1730131769.1003
MEM 43.128906 1730131769.2012
MEM 43.128906 1730131769.3024
MEM 43.128906 1730131769.4033
MEM 43.128906 1730131769.5041
MEM 43.128906 1730131769.6051
MEM 43.128906 1730131769.7055
MEM 43.128906 1730131769.8060
MEM 43.285156 1730131769.9064
MEM 43.285156 1730131770.0073
MEM 43.285156 1730131770.1078
MEM 43.289062 1730131770.2083
MEM 43.289062 1730131770.3087
MEM 43.289062 1730131770.4095
MEM 43.335938 1730131770.5098
MEM 43.335938 1730131770.6101
MEM 43.335938 1730131770.7106
MEM 43.335938 1730131770.8111
MEM 43.335938 1730131770.9120
MEM 43.335938 1730131771.0128
MEM 43.351562 1730131771.1135
MEM 43.351562 1730131771.2138
MEM 43.351562 1730131771.3146
MEM 43.351562 1730131771.4153
MEM 43.351562 1730131771.5156
MEM 43.351562 1730131771.6164
MEM 43.351562 1730131771.7171
MEM 43.351562 1730131771.8180
MEM 43.351562 1730131771.9189
